Size,Dir,Returnn,Abort,ExpectedGain,MaxLoss
1,0,-9,-9,11.944444449,-6
2,1,33,1,11.944444449,-6
3,0,-9,-9,13.650793655,-7.14285714285714
4,1,33,1,15.000000004,-8
5,1,28,1,15.833333329,-9
6,1,28,1,12.777777774,-10
7,0,-9,-9,11.0474537018333,-40.7083333333333
8,0,-9,-9,10.0322997397442,-56.3255813953488
9,-1,2,100,11.111111111,-96
10,0,-9,-9,14.0123456790741,-95.1296296296296
11,-1,2,100,17.777777778,-94
12,0,-9,-9,18.9542483671765,-92.9411764705882
13,-1,2,100,20.000000002,-92
14,0,-9,-9,21.226287264561,-91.0975609756098
15,0,-9,-9,28.6071987439437,-89.6197183098592
16,-1,7,100,32.499999993,-89
17,-1,7,100,39.166666663,-88
18,-1,7,100,44.722222243,-87
19,0,-9,-9,47.7266530450491,-85.9693251533742
20,-1,6,100,50.555555559,-85
21,-1,6,100,55.833333329,-84
22,0,-9,-9,54.5072463774261,-83.0869565217391
23,0,-9,-9,54.3631436257398,-81.9105691056911
24,-1,6,100,58.333333322,-81
25,-1,6,100,61.111111112,-80
26,0,-9,-9,55.1540616260252,-78.8991596638655
27,0,-9,-9,50.6452991427231,-78.0307692307692
28,0,-9,-9,60.5050505031469,-76.8531468531468
29,-1,2,100,68.611111105,-76
30,0,-9,-9,71.5340909014489,-74.8806818181818
31,-1,2,100,74.444444435,-74
32,-1,2,100,77.500000005,-73
33,-1,2,100,80.277777785,-72
34,0,-9,-9,71.2380952386428,-70.9285714285714
35,0,-9,-9,63.8713450260684,-70.2105263157895
36,0,-9,-9,67.6149425246069,-69.0896551724138
37,-1,16,100,72.22222222,-68
38,0,-9,-9,76.4099099063513,-66.8702702702703
39,-1,16,100,79.44444444,-66
40,0,-9,-9,83.0945692798314,-65.061797752809
41,-1,16,100,87.22222221,-64
42,-1,16,100,91.38888888,-63
43,-1,16,100,95.27777778,-62
44,-1,16,100,99.44444444,-61
45,0,-9,-9,78.7601625999756,-40.7909407665505
46,0,-9,-9,61.0682189618897,-23.6213235294118
47,-1,15,64,65.00000001,-22
48,0,-9,-9,61.556211725063,-29.0787401574803
49,-1,15,80,57.77777777,-36
50,0,-9,-9,60.6211843676923,-35.0714285714286
51,-1,15,80,63.88888889,-34
52,0,-9,-9,68.5618014549112,-32.7988165680473
53,-1,15,80,71.66666668,-32
54,0,-9,-9,77.3642439535338,-21.0526315789474
55,0,-9,-9,81.4199346417059,-21.9
56,-1,15,64,86.38888889,-13
57,-1,15,64,92.50000001,-12
58,0,-9,-9,96.8305555547,-11.5
59,-1,15,65,101.1111111,-11
60,0,-9,-9,104.408068776833,-10.5357142857143
61,-1,15,66,108.61111111,-10
62,-1,0,67,94.166666654,-10
63,0,-9,-9,63.508230448,-38.4444444444444
64,0,-9,-9,33.9035087718947,-42.2105263157895
65,1,100,0,29.72222222,-70
66,1,100,0,28.33333333,-71
67,1,100,0,27.5,-72
68,0,-9,-9,30.1068376076923,-72.9538461538462
69,1,90,0,32.77777778,-74
70,1,90,0,30.83333333,-75
71,0,-9,-9,28.7908496731373,-75.9803921568627
72,0,-9,-9,28.1072351490698,-76.7906976744186
73,1,88,0,28.61111111,-78
74,1,88,0,25.83333334,-79
75,1,88,0,23.33333333,-80
76,1,88,0,20.27777778,-81
77,0,-9,-9,18.7393162419231,-81.8653846153846
78,0,-9,-9,16.7970521534694,-83.0408163265306
79,1,100,0,15.83333333,-84
80,1,100,0,15,-85
81,0,-9,-9,14.2397660826316,-85.6842105263158
82,1,100,0,12.77777778,-87
83,1,100,0,11.94444444,-88
84,0,-9,-9,11.06725146,-89.0263157894737
85,0,-9,-9,10.6555555572,-89.52
86,1,97,0,11.38888889,-91
87,0,-9,-9,11.0907859012195,-92.0731707317073
88,1,97,0,10.83333332,-93
89,1,97,0,8.88888888000002,-94
90,0,-9,-9,6.42756680088609,-94.8860759493671
91,0,-9,-9,4.0277777735484,-95.9193548387097
92,0,-9,-9,2.75641025512821,-96.6923076923077
93,0,-9,-9,1.69642857,-97.9642857142857
94,1,100,0,0.833333330000002,-99
95,0,-9,-9,0.444444443000001,-99.9666666666667
96,1,0,0,0,-101
97,1,0,0,0,-102
98,1,0,0,0,-103
99,1,0,0,0,-104
