StartSize,PositionDir,Dir,Returnn,Abort,TotalGain
49.72222222,-9,0,-9,-9,0,
50,-9,0,-9,-9,0,
49.72222222,49.72222222,-1,15,80,-2.5,
50,49.72222222,-1,15,80,-2.5,
49.72222222,49.72222222,-1,15,80,-2.5,
50,49.72222222,-1,15,80,-2.5,
49.72222222,49.72222222,-1,15,80,-2.5,
48.88888889,49.72222222,-1,15,80,-2.5,
49.16666667,49.72222222,-1,15,80,-2.5,
48.61111111,49.72222222,-1,15,80,-2.5,
49.16666667,49.72222222,-1,15,80,-2.5,
48.88888889,49.72222222,-1,15,80,-2.5,
49.16666667,49.72222222,-1,15,80,-2.5,
48.88888889,49.72222222,-1,15,80,-2.5,
50.27777778,49.72222222,-1,15,80,-2.5,
49.44444444,49.72222222,-1,15,80,-2.5,
50,49.72222222,-1,15,80,-2.5,
49.44444444,49.72222222,-1,15,80,-2.5,
48.88888889,49.72222222,-1,15,80,-2.5,
47.5,49.72222222,-1,15,80,-2.5,
46.11111111,49.72222222,-1,15,80,-2.5,
47.5,49.72222222,-1,15,80,-2.5,
46.94444444,49.72222222,-1,15,80,-2.5,
47.22222222,49.72222222,-1,15,80,-2.5,
46.38888889,49.72222222,-1,15,80,-2.5,
45.83333333,49.72222222,-1,15,80,-2.5,
44.72222222,49.72222222,-1,15,80,-2.5,
45,49.72222222,-1,15,80,-2.5,
44.44444444,49.72222222,-1,15,80,-2.5,
45.27777778,49.72222222,-1,15,80,-2.5,
46.38888889,49.72222222,-1,15,80,-2.5,
47.5,49.72222222,-1,15,80,-2.5,
48.33333333,49.72222222,-1,15,80,-2.5,
49.16666667,49.72222222,-1,15,80,-2.5,
50.83333333,49.72222222,-1,15,80,-2.5,
49.16666667,49.72222222,-1,15,80,-2.5,
48.88888889,49.72222222,-1,15,80,-2.5,
49.16666667,49.72222222,-1,15,80,-2.5,
48.61111111,49.72222222,-1,15,80,-2.5,
44.16666667,49.72222222,-1,15,80,-2.5,
45,49.72222222,-1,15,80,-2.5,
44.72222222,49.72222222,-1,15,80,-2.5,
45,49.72222222,-1,15,80,-2.5,
46.11111111,49.72222222,-1,15,80,-2.5,
47.77777778,49.72222222,-1,15,80,-2.5,
48.05555556,49.72222222,-1,15,80,-2.5,
47.5,49.72222222,-1,15,80,-2.5,
46.66666667,49.72222222,-1,15,80,-2.5,
47.22222222,49.72222222,-1,15,80,-2.5,
46.94444444,49.72222222,-1,15,80,-2.5,
47.22222222,49.72222222,-1,15,80,-2.5,
48.33333333,49.72222222,-1,15,80,-2.5,
47.77777778,49.72222222,-1,15,80,-2.5,
48.05555556,49.72222222,-1,15,80,-2.5,
