Size,Dir,Returnn,Abort,ExpectedGain,MaxLoss
1,1,33,0,11.666666671,-6
2,1,33,1,11.944444449,-6
3,1,33,1,8.611111115,-7
4,1,33,1,15.000000004,-8
5,1,28,1,15.833333329,-9
6,1,28,1,12.777777774,-10
7,1,28,1,8.333333329,-11
8,-1,0,100,7.777777779,-97
9,-1,2,100,11.111111111,-96
10,-1,0,100,11.666666664,-95
11,-1,2,100,17.777777778,-94
12,-1,2,100,16.666666662,-93
13,-1,2,100,20.000000002,-92
14,-1,0,100,19.722222224,-91
15,-1,0,100,22.222222224,-90
16,-1,7,100,32.499999993,-89
17,-1,7,100,39.166666663,-88
18,-1,7,100,44.722222243,-87
19,-1,6,100,46.111111109,-86
20,-1,6,100,50.555555559,-85
21,-1,6,100,55.833333329,-84
22,-1,6,100,49.722222222,-83
23,-1,6,100,53.055555562,-82
24,-1,6,100,58.333333322,-81
25,-1,6,100,61.111111112,-80
26,-1,6,100,47.499999998,-79
27,-1,6,100,50.555555558,-78
28,-1,6,100,53.611111108,-77
29,-1,2,100,68.611111105,-76
30,-1,2,100,70.555555555,-75
31,-1,2,100,74.444444435,-74
32,-1,2,100,77.500000005,-73
33,-1,2,100,80.277777785,-72
34,-1,0,100,59.999999994,-71
35,-1,16,100,63.05555555,-70
36,-1,16,100,67.5,-69
37,-1,16,100,72.22222222,-68
38,-1,16,100,75.27777776,-67
39,-1,16,100,79.44444444,-66
40,-1,16,100,83.05555555,-65
41,-1,16,100,87.22222221,-64
42,-1,16,100,91.38888888,-63
43,-1,16,100,95.27777778,-62
44,-1,16,100,99.44444444,-61
45,-1,0,64,57.777777784,-24
46,-1,0,64,60.833333334,-23
47,-1,15,64,65.00000001,-22
48,-1,15,80,54.16666667,-37
49,-1,15,80,57.77777777,-36
50,-1,15,80,59.72222223,-35
51,-1,15,80,63.88888889,-34
52,-1,15,80,68.05555555,-33
53,-1,15,80,71.66666668,-32
54,-1,15,80,76.38888889,-31
55,-1,15,64,81.11111112,-14
56,-1,15,64,86.38888889,-13
57,-1,15,64,92.50000001,-12
58,-1,15,64,96.66666668,-11
59,-1,15,65,101.1111111,-11
60,-1,15,66,103.33333333,-11
61,-1,15,66,108.61111111,-10
62,-1,0,67,94.166666654,-10
63,-1,0,80,36.944444446,-22
64,1,100,0,30.55555556,-69
65,1,100,0,29.72222222,-70
66,1,100,0,28.33333333,-71
67,1,100,0,27.5,-72
68,1,100,0,26.66666667,-73
69,1,90,0,32.77777778,-74
70,1,90,0,30.83333333,-75
71,1,90,0,27.77777779,-76
72,1,90,0,26.66666667,-77
73,1,88,0,28.61111111,-78
74,1,88,0,25.83333334,-79
75,1,88,0,23.33333333,-80
76,1,88,0,20.27777778,-81
77,1,100,0,17.77777778,-82
78,1,100,0,16.66666667,-83
79,1,100,0,15.83333333,-84
80,1,100,0,15,-85
81,1,100,0,13.88888889,-86
82,1,100,0,12.77777778,-87
83,1,100,0,11.94444444,-88
84,1,100,0,10.27777778,-89
85,1,100,0,10,-90
86,1,97,0,11.38888889,-91
87,1,97,0,9.44444444000001,-92
88,1,97,0,10.83333332,-93
89,1,97,0,8.88888888000002,-94
90,1,97,0,5.27777777000001,-95
91,1,100,0,3.33333333,-96
92,1,100,0,2.5,-97
93,1,100,0,1.66666667,-98
94,1,100,0,0.833333330000002,-99
95,1,0,0,0,-100
96,1,0,0,0,-101
97,1,0,0,0,-102
98,1,0,0,0,-103
99,1,0,0,0,-104
